file|utterance|usable
1_12/hour/24.wav|"five"|1
1_12/hour/26.wav|"five"|1
1_12/hour/28.wav|"five"|1
1_12/hour/30.wav|"six"|1
1_12/hour/32.wav|"six"|1
1_12/hour/34.wav|"six"|1
1_12/hour/36.wav|"seven"|1
1_12/hour/38.wav|"seven"|1
1_12/hour/4.wav|"one"|1
1_12/hour/40.wav|"seven"|1
1_12/hour/42.wav|"eight"|1
1_12/hour/44.wav|"eight"|1
1_12/hour/46.wav|"eight"|1
1_12/hour/48.wav||
1_12/hour/50.wav|"nine"|1
1_12/hour/52.wav|"nine"|1
1_12/hour/54.wav|"ten"|1
1_12/hour/56.wav|"ten"|1
1_12/hour/58.wav|"ten"|1
1_12/hour/6.wav|"two"|1
1_12/hour/60.wav|"eleven"|1
1_12/hour/62.wav|"eleven"|1
1_12/hour/64.wav|"eleven"|1
1_12/hour/66.wav|"twelve"|1
1_12/hour/68.wav|"twelve"|1
1_12/hour/70.wav|"twelve|1
1_12/hour/8.wav|"two"|1
1_12/min/1.wav|"one"|1
1_12/min/11.wav|"two"|1
1_12/min/13.wav|"three"|1
1_12/min/15.wav|"three"|1
1_12/min/17.wav|"three"|1
1_12/min/19.wav|"four"|1
1_12/min/21.wav|"four"|1
1_12/min/23.wav|"four"|1
1_12/min/25.wav|"five"|1
1_12/min/27.wav|"five"|1
1_12/min/29.wav|"five"|1
1_12/min/3.wav|"one"|1
1_12/min/31.wav|"six"|1
1_12/min/33.wav||
1_12/min/35.wav||
1_12/min/37.wav|"seven"|1
1_12/min/39.wav|"seven"|1
1_12/min/41.wav|"seven"|1
1_12/min/43.wav|"eight"|1
1_12/min/45.wav|"eight"|1
1_12/min/47.wav|"eight"|1
1_12/min/49.wav|"nine"|1
1_12/min/5.wav|"one"|1
1_12/min/51.wav|"nine"|1
1_12/min/53.wav|"nine"|1
1_12/min/55.wav|"ten"|1
1_12/min/57.wav|"ten"|1
1_12/min/59.wav|"ten"|1
1_12/min/61.wav||
1_12/min/63.wav||
1_12/min/65.wav||
1_12/min/67.wav||
1_12/min/69.wav||
1_12/min/7.wav|"two"|1
1_12/min/71.wav||
1_12/min/9.wav|"two"|1
